player,type,experience,season,contract_yrs,first_year_percent_of_cap
A.J. Lawson,RFA,1,2023,NA,NA
Aaron Holiday,UFA,5,2023,NA,NA
Admiral Schofield,RFA,3,2023,NA,NA
A.J. Green,RFA,1,2023,NA,NA
Alec Burks,CO,11,2023,NA,10012800
Alex Len,UFA,10,2023,NA,NA
Alondes Williams,RFA,1,2023,NA,NA
Andre Drummond,PO,10,2023,NA,3280000
Andre Iguodala,UFA,19,2023,NA,NA
Anthony Lamb,RFA,3,2023,NA,NA
Austin Reaves,RFA,2,2023,NA,NA
Austin Rivers,UFA,11,2023,NA,NA
Ayo Dosunmu,RFA,2,2023,NA,NA
Bismack Biyombo,UFA,12,2023,NA,NA
Blake Griffin,UFA,13,2023,NA,NA
Boban Marjanović,UFA,8,2023,NA,NA
Bogdan Bogdanović,PO,5,2023,NA,18000000
Brook Lopez,UFA,15,2023,NA,NA
Bruce Brown,PO,4,2023,NA,6640975
Bryce McGowens,RFA,1,2023,NA,NA
Bryn Forbes,UFA,7,2023,NA,NA
Buddy Boeheim,RFA,1,2023,NA,NA
Cam Reddish,RFA,4,2023,NA,NA
Cameron Johnson,RFA,4,2023,NA,NA
Caris LeVert,UFA,7,2023,NA,NA
Carlik Jones,RFA,2,2023,NA,NA
Charles Bassey,RFA,2,2023,NA,NA
Chimezie Metu,UFA,5,2023,NA,NA
Christian Wood,UFA,7,2023,NA,NA
Coby White,RFA,4,2023,NA,NA
Collin Gillespie,RFA,1,2023,NA,NA
Cory Joseph,UFA,12,2023,NA,NA
D'Angelo Russell,UFA,8,2023,NA,NA
Dalano Banton,RFA,2,2023,NA,NA
Damian Jones,PO,6,2023,NA,2442525
Damion Lee,UFA,6,2023,NA,NA
Danilo Gallinari,PO,14,2023,NA,6640975
Danny Green,UFA,14,2023,NA,NA
Danuel House Jr.,PO,6,2023,NA,4207625
DaQuan Jeffries,UFA,4,2023,NA,NA
Dario Šarić,UFA,7,2023,NA,NA
Darius Bazley,RFA,4,2023,NA,NA
Darius Days,RFA,1,2023,NA,NA
David Duke Jr.,RFA,2,2023,NA,NA
DeAndre Jordan,UFA,15,2023,NA,NA
Dennis Schröder,UFA,10,2023,NA,NA
Dennis Smith Jr.,UFA,6,2023,NA,NA
Dereon Seabron,RFA,1,2023,NA,NA
Derrick Jones Jr.,PO,6,2023,NA,3280000
Derrick Rose,CO,14,2023,NA,14520730
Devon Dotson,RFA,3,2023,NA,NA
Didi Louzada,RFA,3,2023,NA,NA
Dillon Brooks,UFA,6,2023,NA,NA
Dominick Barlow,RFA,1,2023,NA,NA
Donte DiVincenzo,PO,4,2023,NA,4612500
Draymond Green,PO,10,2023,NA,24916591
Drew Eubanks,UFA,5,2023,NA,NA
Duane Washington Jr.,RFA,2,2023,NA,NA
Dwight Powell,UFA,9,2023,NA,NA
Dylan Windler,RFA,4,2023,NA,NA
Eugene Omoruyi,RFA,1,2023,NA,NA
