season,player,type,terms,contract_yrs,yr_1_salary,Source
2012,A.J. Price,UFA,,1,885120,spotrac
2012,Aaron Gray,UFA,,2,2575000,spotrac
2012,Alan Anderson,UFA,,1,885120,spotrac
2012,Alonzo Gee,RFA,,3,3500000,spotrac
2012,Andray Blatche,UFA,,1,1146337,spotrac
2012,Andre Emmett,UFA,"camp invite, https://chicago.sbnation.com/chicago-bulls/2012/9/23/3376490/chicago-bulls-training-camp-ryan-allen-d-j-white",0,0,
2012,Andre Miller,UFA,,3,5000000,spotrac
2012,Andrés Nocioni,UFA,,0,0,
2012,Andrew Goudelock,UFA,,0,0,
2012,Antawn Jamison,UFA,,1,1352181,spotrac
2012,Anthony Carter,UFA,"camp invite, https://twitter.com/nuggets/status/252893929438072832",0,0,
2012,Anthony Randolph,UFA,,3,1674641,spotrac
2012,Anthony Tolliver,UFA,,1,854389,spotrac
2012,Armon Johnson,UFA,"camp invite, https://www.orlandopinstripedpost.com/2012/9/19/3358962/nba-rumors-2012-orlando-magic-armon-johnson-dequan-jones-training-camp",0,0,
2012,Baron Davis,UFA,,0,0,
2012,Ben Uzoh,UFA,"camp invite, https://twitter.com/nuggets/status/252893929438072832",0,0,
2012,Ben Wallace,UFA,,0,0,
2012,Blake Ahearn,UFA,"camp invite, https://www.cbssports.com/nba/news/reports-indiana-pacers-agree-to-sign-blake-ahearn-to-training-camp-contract/",0,0,
2012,Bobby Simmons,UFA,signed w/olympiacos,0,0,
2012,Boris Diaw,UFA,,2,4125000,spotrac
2012,Brad Miller,UFA,,0,0,
2012,Brandon Bass,UFA,,3,6000000,spotrac
2012,Brandon Rush,RFA,,2,4000000,spotrac
2012,Brendan Haywood,UFA,,3,2050000,spotrac
2012,Brian Cardinal,UFA,,0,0,
2012,Brian Cook,UFA,"camp invite, https://www.bulletsforever.com/2012/9/15/3336540/links-washington-wizards-invite-brian-cook-to-camp",0,0,
2012,Brian Scalabrine,UFA,,0,0,
2012,Brian Skinner,UFA,,0,0,
2012,Brook Lopez,RFA,,4,13668750,spotrac
2012,C.J. Miles,UFA,,2,2225000,spotrac
2012,C.J. Watson,UFA,,2,992680,spotrac
2012,Carl Landry,UFA,,2,4000000,spotrac
2012,Carldell Johnson,UFA,"camp invite, https://www.thescore.com/nba/news/85806",0,0,
2012,Carlos Delfino,UFA,,2,3000000,spotrac
2012,Cartier Martin,UFA,,1,915852,spotrac
2012,Chauncey Billups,UFA,,1,4000000,spotrac
2012,Chris Andersen,UFA,,0,0,
2012,Chris Johnson,UFA,"camp invite, https://www.foxsports.com/stories/other/wolves-friday-six-sign-for-training-camp",0,0,
2012,Chris Kaman,UFA,,1,8000000,spotrac
2012,Chris Wilcox,UFA,,1,1352181,spotrac
