season,cap
2035,229187000
2034,218273000
2033,207879000
2032,197980000
2031,188552000
2030,179573000
2029,171022000
2028,162878000
2027,155122000
2026,147735000
2025,140700000
2024,134000000
2023,123655000
2022,112414000
2021,109140000
2020,109140000
2019,101869000
2018,99093000
2017,94143000
2016,70000000
2015,63065000
2014,58679000
2013,58044000
2012,58044000
2011,58044000
2010,57700000
2009,58680000
2008,55630000
2007,53135000
2006,49500000
2005,43870000
2004,43840000
2003,40271000
2002,42500000
2001,35500000
2000,34000000
1999,30000000
1998,26900000
1997,24363000
1996,23000000
1995,15964000
1994,15175000
1993,14000000
1992,12500000
1991,11871000
1990,9802000
1989,7232000
1988,6164000
1987,4945000
1987,4945000
1986,4233000
1985,3600000
