seas_id,season,player_id,player,age,experience,g_percent,gs_percent,mp_per_game,x3p_per_game,x3pa_per_game,x2p_per_game,x2pa_per_game,ft_per_game,fta_per_game,orb_per_game,drb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,fg_percent,x3p_percent,x2p_percent,e_fg_percent,ft_percent,ows,dws,ws_per_48,vorp,all_nba_share,all_defense_share,g_percent_last_3_yrs,gs_percent_last_3_yrs,mp_last_3_yrs_per_game,x3p_last_3_yrs_per_game,x3pa_last_3_yrs_per_game,x2p_last_3_yrs_per_game,x2pa_last_3_yrs_per_game,ft_last_3_yrs_per_game,fta_last_3_yrs_per_game,orb_last_3_yrs_per_game,drb_last_3_yrs_per_game,ast_last_3_yrs_per_game,stl_last_3_yrs_per_game,blk_last_3_yrs_per_game,tov_last_3_yrs_per_game,pf_last_3_yrs_per_game,ows_last_3_yrs,dws_last_3_yrs,ws_per_48_last_3_yrs,vorp_last_3_yrs,all_nba_share_last_3_yrs,all_defense_share_last_3_yrs,fg_percent_last_3_yrs,x3p_percent_last_3_yrs,x2p_percent_last_3_yrs,e_fg_percent_last_3_yrs,ft_percent_last_3_yrs,type,contract_yrs,first_year_percent_of_cap,percent_of_pos_vorp
23359,2012,3857,A.J. Price,25,3,0.6667,0.0227,12.9091,0.5909,2,0.75,1.9545,0.6364,0.7955,0.2955,1.0909,1.9545,0.4545,0.0455,0.7273,0.6818,0.3391,0.2955,0.3837,0.4138,0.8,0.2,0.5,0.0592,0.1,0,0,0.6531,0.0195,14.8533,0.8467,2.74,1.2733,2.9133,0.9467,1.2733,0.2733,1.2,2.02,0.56,0.04,0.96,0.96,0.2,2,0.0474,0.2,0,0,0.375,0.309,0.4371,0.4499,0.7435,UFA,1,0.0152,0.0018
23360,2012,3732,Aaron Gray,27,5,0.7424,0.8163,16.5918,0,0,1.6939,3.2857,0.5102,0.9592,1.6939,4.0408,0.551,0.449,0.3469,1.0408,2.5918,0.5155,0,0.5155,0.5155,0.5319,0.1,1.3,0.0827,-0.3,0,0,0.5458,0.3209,13.5656,0,0,1.4836,2.8033,0.5082,0.8934,1.5328,3.041,0.5328,0.3443,0.3279,0.8279,2.2705,0.9,2.5,0.0986,-0.5,0,0,0.5292,0,0.5292,0.5292,0.5688,UFA,2,0.0444,-0.0077
23365,2012,3567,Alan Anderson,29,3,0.2576,0.7059,27.1176,1.4118,3.5882,1.8235,4.7647,1.7059,2,0.4706,1.5294,1.5294,0.2941,0.1765,1.4706,2.0588,0.3873,0.3934,0.3827,0.4718,0.8529,0.1,0.2,0.0312,-0.1,0,0,0.3013,0.3001,18.3,0.7571,1.9857,1.6286,3.7857,1.1571,1.4,0.6,1.3429,1.1286,0.3286,0.1,1.1286,1.6571,0.3,0.6,0.03,-0.5,0,0,0.4134,0.3813,0.4302,0.479,0.8265,UFA,1,0.0152,-0.01
23367,2012,3858,Alonzo Gee,24,3,0.9545,0.4921,29,0.6984,2.1746,2.9048,6.5714,2.6508,3.3651,1.6032,3.5079,1.7937,1.3175,0.2698,1.8095,2.3651,0.412,0.3212,0.442,0.4519,0.7877,1.2,1.2,0.0631,0.3,0,0,0.5878,0.427,24.0538,0.5231,1.5154,2.3692,5.2077,1.9769,2.5615,1.3692,2.7615,1.2154,1,0.2769,1.3769,1.9692,2,1.9,0.0583,0.4,0,0,0.4302,0.3452,0.4549,0.4691,0.7718,RFA,3,0.0603,0.008
23371,2012,3571,Andray Blatche,25,7,0.3939,0.5,24.0769,0.0769,0.2692,3.5,9.1538,1.2692,1.8846,1.6154,4.1538,1.0769,0.7692,0.6538,1.4231,2.0769,0.3796,0.2857,0.3824,0.3837,0.6735,-0.8,0.6,-0.0077,-0.4,0,0,0.7207,0.6429,29.5556,0.1111,0.4035,5.7193,12.4678,2.4971,3.3099,2.2398,4.6901,2,1.1871,0.8129,2.2865,2.655,0.3,5.3,0.0541,1.7,0,0,0.453,0.2754,0.4587,0.4573,0.7544,UFA,1,0.0197,0.026
23372,2012,3499,Andre Emmett,29,2,0.0909,0,7.5,0,0.1667,0.6667,1,0.8333,1.3333,0.3333,0.6667,0.1667,0.3333,0.1667,0.3333,0.3333,0.5714,0,0.6667,0.5714,0.625,0.1,0,0.1067,0,0,0,0.0628,0,5.2143,0,0.0714,0.4286,0.8571,0.5714,0.9286,0.1429,0.4286,0.0714,0.1429,0.0714,0.2143,0.4286,0.1,0,0.0658,-0.1,0,0,0.4615,0,0.5,0.4615,0.6154,UFA,0,0,-0.002
23374,2012,3171,Andre Miller,35,13,1,0.1061,27.4091,0.2727,1.2576,3.3939,7.1061,2.0758,2.5606,0.803,2.5455,6.6818,0.9545,0.1364,2.6818,2.0152,0.4384,0.2169,0.4776,0.4547,0.8107,1.9,1,0.0769,0.7,0,0,0.9959,0.637,30.3886,0.1659,0.8734,4.3493,9.1878,3.0917,3.7249,1.0087,2.4367,6.3406,1.179,0.131,2.3886,2.0655,11.1,5.8,0.1166,5.5,0,0,0.4488,0.19,0.4734,0.457,0.83,UFA,3,0.0861,0.0489
23376,2012,3501,Andrés Nocioni,32,8,0.1667,0.0909,5.0909,0.0909,0.5455,0.3636,1.2727,0.5455,1,0.0909,1.1818,0.0909,0.0909,0.0909,0.4545,0.3636,0.25,0.1667,0.2857,0.275,0.5455,-0.3,0.1,-0.1714,-0.2,0,0,0.5799,0.2597,17.6,0.9929,2.6643,1.5571,3.65,0.9,1.2214,0.3714,2.5214,0.8643,0.3357,0.3,0.85,1.8857,0.3,2.2,0.0468,-0.4,0,0,0.4038,0.3727,0.4266,0.4825,0.7368,UFA,0,0,-0.008
23379,2012,3983,Andrew Goudelock,23,1,0.6061,0,10.475,0.7,1.875,1,2.475,0.275,0.3,0.125,0.65,0.5,0.1,0,0.525,0.8,0.3908,0.3733,0.404,0.4713,0.9167,0,0.1,0.0115,-0.3,0,0,0.202,0,10.475,0.7,1.875,1,2.475,0.275,0.3,0.125,0.65,0.5,0.1,0,0.525,0.8,0,0.1,0.0115,-0.3,0,0,0.3908,0.3733,0.404,0.4713,0.9167,UFA,0,0,-0.0027
23381,2012,3104,Antawn Jamison,35,14,0.9848,1,33.0923,1.4,4.1077,5.0769,11.9538,2.8462,4.1692,1.8923,4.3846,2.0154,0.7846,0.6615,1.3846,2.5231,0.4033,0.3408,0.4247,0.4468,0.6827,2.1,1,0.0692,0.9,0,0,0.8275,0.8828,34.2193,1.4278,4.1551,5.3797,11.6524,2.9412,4.3048,1.8449,5.3102,1.6471,0.9198,0.5027,1.3797,2.5668,6.6,4.9,0.0863,3.1,0,0,0.4306,0.3436,0.4617,0.4758,0.6832,UFA,1,0.0233,0.0475
