voter_name,affiliation,first_fwd,first_fwd_2,first_cen,first_g,first_g_2,second_fwd,second_fwd_2,second_cen,second_g,second_g_2,year,award
Aaron Fentress,The Oregonian,Jackson Jr. Jaren (MEM),Adebayo Bam (MIA),Lopez Brook (MIL),Holiday Jrue (MIL),Smart Marcus (BOS),Mobley Evan (CLE),Antetokounmpo Giannis (MIL),Claxton Nic (BKN),Caruso Alex (CHI),White Derrick (BOS),2023,All-Defense
Adam Himmelsbach,Boston Globe,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),White Derrick (BOS),Holiday Jrue (MIL),Green Draymond (GSW),McDaniels Jaden (MIN),Adebayo Bam (MIA),Caruso Alex (CHI),Bridges Mikal (BKN),2023,All-Defense
Adam Lefkoe,WarnerMedia,Anunoby O.G. (TOR),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Bridges Mikal (BKN),Holiday Jrue (MIL),McDaniels Jaden (MIN),Mobley Evan (CLE),Embiid Joel (PHI),Jones Herbert (NOP),Smart Marcus (BOS),2023,All-Defense
Andy Larsen,Salt Lake Tribune,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),McDaniels Jaden (MIN),Anunoby O.G. (TOR),Green Draymond (GSW),Jones Herbert (NOP),Brooks Dillon (MEM),2023,All-Defense
Anthony Chiang,Miami Herald,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Anunoby O.G. (TOR),Green Draymond (GSW),Adebayo Bam (MIA),Brooks Dillon (MEM),White Derrick (BOS),2023,All-Defense
Anthony Slater,The Athletic,Green Draymond (GSW),Adebayo Bam (MIA),Jackson Jr. Jaren (MEM),Holiday Jrue (MIL),White Derrick (BOS),Antetokounmpo Giannis (MIL),Davis Anthony (LAL),Lopez Brook (MIL),Caruso Alex (CHI),Brooks Dillon (MEM),2023,All-Defense
Antoni Daimiel,Movistar+,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),Holiday Jrue (MIL),Brooks Dillon (MEM),Anunoby O.G. (TOR),Gordon Aaron (DEN),Adebayo Bam (MIA),White Derrick (BOS),Melton De'Anthony (PHI),2023,All-Defense
Bill Reiter,CBSSports.com,Jackson Jr. Jaren (MEM),Mobley Evan (CLE),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Anunoby O.G. (TOR),Adebayo Bam (MIA),Green Draymond (GSW),Brooks Dillon (MEM),White Derrick (BOS),2023,All-Defense
Bill Simmons,The Ringer,Green Draymond (GSW),Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Holiday Jrue (MIL),White Derrick (BOS),Antetokounmpo Giannis (MIL),Anunoby O.G. (TOR),Lopez Brook (MIL),Caruso Alex (CHI),Bridges Mikal (BKN),2023,All-Defense
Brian Geltzeiler,Sirius Radio,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Adebayo Bam (MIA),White Derrick (BOS),Holiday Jrue (MIL),Antetokounmpo Giannis (MIL),Brown Jaylen (BOS),Lopez Brook (MIL),Bridges Mikal (BKN),Edwards Anthony (MIN),2023,All-Defense
Brian Lewis,New York Post,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Green Draymond (GSW),Anunoby O.G. (TOR),Claxton Nic (BKN),White Derrick (BOS),Brooks Dillon (MEM),2023,All-Defense
Brian Mahoney,Associated Press,Anunoby O.G. (TOR),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),White Derrick (BOS),Antetokounmpo Giannis (MIL),McDaniels Jaden (MIN),Green Draymond (GSW),Bridges Mikal (BKN),Caruso Alex (CHI),2023,All-Defense
Brian Windhorst,ESPN,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),McDaniels Jaden (MIN),Anunoby O.G. (TOR),Green Draymond (GSW),Brooks Dillon (MEM),White Derrick (BOS),2023,All-Defense
Callie Caplan,Dallas Morning News,Mobley Evan (CLE),Jackson Jr. Jaren (MEM),Adebayo Bam (MIA),Holiday Jrue (MIL),Bridges Mikal (BKN),Anunoby O.G. (TOR),McDaniels Jaden (MIN),Lopez Brook (MIL),Jones Herbert (NOP),Caruso Alex (CHI),2023,All-Defense
Cassidy Hubbarth,ESPN,Jackson Jr. Jaren (MEM),Green Draymond (GSW),Lopez Brook (MIL),Holiday Jrue (MIL),Caruso Alex (CHI),Mobley Evan (CLE),Anunoby O.G. (TOR),Claxton Nic (BKN),Brooks Dillon (MEM),White Derrick (BOS),2023,All-Defense
